index,mean,std
nsample_78,0.2456,0.1433
nsample_91,0.2168,0.122
nsample_104,0.1735,0.0933
nsample_117,0.1473,0.0772
nsample_130,0.0916,0.1284
nsample_143,0.0133,0.1016
nsample_156,0.0045,0.0021
nsample_169,0.0036,0.0013
nsample_182,0.0033,0.0011
nsample_195,0.003,0.0009
nsample_208,0.0039,0.0012
nsample_221,0.0052,0.0015
nsample_234,0.0058,0.0014
nsample_247,0.0065,0.0015
nsample_260,0.0068,0.0015
nsample_273,0.0068,0.0014
nsample_286,0.0068,0.0013
nsample_299,0.0071,0.0012
nsample_312,0.0071,0.0011
nsample_325,0.0072,0.0011
nsample_338,0.0071,0.001
nsample_351,0.0071,0.0009
nsample_364,0.0071,0.0009
nsample_377,0.0071,0.0008
nsample_390,0.0071,0.0008
nsample_403,0.0071,0.0008
nsample_416,0.007,0.0007
nsample_429,0.0069,0.0007
nsample_442,0.0069,0.0007
nsample_455,0.0068,0.0007
nsample_468,0.0068,0.0006
nsample_481,0.0068,0.0006
nsample_494,0.0067,0.0006
nsample_507,0.0067,0.0006
nsample_520,0.0066,0.0006
nsample_533,0.0066,0.0006
nsample_546,0.0065,0.0006
