,nsample_104,nsample_117,nsample_130,nsample_143,nsample_156,nsample_169,nsample_182,nsample_195,nsample_208,nsample_221,nsample_234
11,5.313103337559263e-134,2.0775368784357788e-132,5.912412173900004e-133,5.623994796410741e-134,5.313103337559263e-134,1.774876169162964e-133,5.313103337559263e-134,5.912412173900004e-133,1.774876169162964e-133,1.8783145692812963e-133,1.8783145692812963e-133
10,5.313103337559263e-134,2.0775368784357788e-132,4.872295384883887e-05,4.872295384883887e-05,3.9587400002181794e-05,4.872295384883887e-05,4.872295384883887e-05,3.9587400002181794e-05,3.9587400002181794e-05,3.9815788848348016e-05,3.9587400002181794e-05
9,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.4659595288557257,0.4659595288557257,0.4659595288557257,0.5005673707894058,0.4659595288557257,0.4659595288557257,0.4659595288557257,0.4659595288557257
8,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.6854967337920594,0.6854967337920594,0.6854967337920594,0.6854967337920594,0.7228251828701066,0.7228251828701066,0.7228251828701066,0.6864299450190098
7,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.6854967337920594,0.6854967337920594,0.9542189106778983,0.9542189106778983,0.9545884636120272,0.9542189106778983,0.9545884636120272,0.9542189106778983
6,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.9883339509983219,0.9883339509983219,0.9883339509983219,0.9883339509983219,0.9883339509983219,0.9884681691271748,0.9937026761524456,0.9937026761524456
5,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.9883339509983219,0.9883339509983219,0.9987234512860412,0.9883339509983219,0.9987234512860412,0.9987234512860412,0.9987234512860412,0.9987234512860412
4,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.9999999867571524,0.999999999805234,0.999999999805234,0.999999999805234
3,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.9999999867571524,0.9999999867571524,0.999999999805234,0.999999999805234,0.9999999999993714,0.9999999999999998,0.9999999999993714,0.9999999999999998
2,5.313103337559263e-134,2.0775368784357788e-132,0.4659595288557257,0.9999999867571524,0.9999999999993714,0.999999999805234,0.999999999805234,0.9999999999993714,0.9999999999999998,0.9999999999993714,0.9999999999999998
1,5.313103337559263e-134,2.0775368784357788e-132,0.9999999867571524,0.9999999867571524,0.9999999999993714,0.999999999805234,0.999999999805234,0.9999999999993714,0.9999999999999998,0.9999999999993714,0.9999999999999998
